text,is_rumor,user.handle,topic
"Breaking: At least 10 dead, 5 injured after tO gunman open fire in offices of Charlie  Hebdo,satirical mag that published Mohammed cartoons",1,H_E_Samuel,charliehebdo
@H_E_Samuel @George_Berridge @michael_taggart The religion of peace strikes again.,1,EdwardBowden,charliehebdo
@H_E_Samuel Hi Henry would you be willing to give ITV News a phone interview for our Lunchtime bulletin in 2 hours?,1,NickyRusmith,charliehebdo
"@H_E_Samuel @H_E_Samuel please call them terrorists not gunmen, don't dilute the news because if we  do that they sure will run over us",1,pravsly,charliehebdo
@H_E_Samuel French govt needs to take strict action.,1,sharatsrs,charliehebdo
@EdwardBowden @H_E_Samuel @George_Berridge @michael_taggart and idiot strikes again with his stupid tweet,1,imranali27,charliehebdo
@H_E_Samuel @terrychristian  if only people didn't hand out guns:https://t.co/iPBkLwhQk8 Jeffrey Epstein also in CFR+Trilateral Commission,1,FULLY_BADASS,charliehebdo
@imranali27 @H_E_Samuel @George_Berridge @michael_taggart Explain.,1,EdwardBowden,charliehebdo
@EdwardBowden @H_E_Samuel @George_Berridge blame the shooter not the religion because the same religion taught not to kill innocent ppl,1,imranali27,charliehebdo
"@imranali27 @H_E_Samuel @George_Berridge Koran - ""Kill them wherever you find them, and turn them out from where they have turned you out.",1,EdwardBowden,charliehebdo
"France: 10 people dead after shooting at HQ of satirical weekly newspaper #CharlieHebdo, according to witnesses http://t.co/FkYxGmuS58",1,euronews,charliehebdo
MT @euronews France: 10 dead after shooting at HQ of satirical weekly #CharlieHebdo. If Zionists/Jews did this they'd be nuking Israel,1,J0nathanDavis,charliehebdo
@j0nathandavis They who? Stupid and partial opinions like this one only add noise to any debate.,1,nanoSpawn,charliehebdo
@euronews @Massimilian2611 ci vuole una nuova crociata partendo da casa nostra...e lo dico io che non sono cattolico,1,igor_perfetti,charliehebdo
"@nanoSpawn Socialists, Antisemites, anti zionists - usual suspects",1,J0nathanDavis,charliehebdo
@Nuno_Rodrigo5 @euronews islamistas o taraos?,1,Yo_Mitro,charliehebdo
@euronews @TradeDesk_Steve A French crime of passion or another heathen moslem atrocity?,1,DrewEdgar_CB,charliehebdo
"@euronews LOL. 5 million Muslims in France, what a disgrace. the french worm president and politicians killed them. tine for croissants now",1,NeoSkywalker13,charliehebdo
"Ten killed in shooting at headquarters of French satirical weekly Charlie Hebdo, says French media citing witnesses #c4news",1,Channel4News,charliehebdo
@Channel4News @GidonShaviv must be that peace loving religion again,1,onielio,charliehebdo
"@Channel4News my god what is going on,no doubt as it seems to be satirical mag,members of a certain religion have been offended they kill.",1,rhu71,charliehebdo
@Channel4News @theresacfc ffs what's going on??,1,jingscriven,charliehebdo
@Channel4News I think the majority of people ( including you guys) are sick and tired of Islamic immigration and all the problems it brings,1,Theoldbustation,charliehebdo
"@Channel4News 1 cleric for each victim, this will stop the hate speech from mosques. the streets will echo with silence by outraged muslims",1,Factorialpython,charliehebdo
BREAKING: 10 dead in shooting at headquarters of French satirical weekly #CharlieHebdo - French media citing witnesses. #France,1,AlArabiya_Eng,charliehebdo
WTF &gt; @AlArabiya_Eng: BREAKING 10 dead in shooting at headquarters of French satirical weekly #CharlieHebdo - French media citing witnesses.,1,j_abrahamsson,charliehebdo
"@AlArabiya_Eng Let me make a wild guess, it was #muslims who did it!!!!",1,Dror_wu,charliehebdo
@AlArabiya_Eng @SamMaloneUK it'll be your lot again Malone you fucking Islamist supporting scum.,1,brianlongstaff,charliehebdo
@brianlongstaff @AlArabiya_Eng My lot? Lol. Fuck off troll.,1,SamMaloneUK,charliehebdo
@SamMaloneUK @AlArabiya_Eng unless its the EDL that carried out this attack?,1,brianlongstaff,charliehebdo
@brianlongstaff @AlArabiya_Eng Fuck off troll. If you didnt think it had anything to do with muslims you wouldnt give two shits.,1,SamMaloneUK,charliehebdo
@SamMaloneUK @AlArabiya_Eng they'll not be 'real' Muslims. Nothing to do with Islam. Nothing to see here. Typical apologist bullshit.,1,brianlongstaff,charliehebdo
@brianlongstaff @AlArabiya_Eng Like I said - if you didnt think muslims were involved u wouldnt care. Fuck off,1,SamMaloneUK,charliehebdo
@SamMaloneUK @AlArabiya_Eng scum. Scum.  Scum.,1,brianlongstaff,charliehebdo
@brianlongstaff @AlArabiya_Eng #Meltdown? Fuck off grief tourist.,1,SamMaloneUK,charliehebdo
@SamMaloneUK @AlArabiya_Eng shouldn't you be shagging someone's mum?,1,brianlongstaff,charliehebdo
@brianlongstaff Too busy with yours,1,SamMaloneUK,charliehebdo
"@brianlongstaff @SamMaloneUK @AlArabiya_Eng Real Muslims? Do u mean like, Muslims and Muslims-Lite? Lmao. Have both of them fight each other",1,CrazyRaiderRad,charliehebdo
Reuters: 10 people shot dead at headquarters of French satirical weekly publication Charlie Hebdo in #Paris after gunmen stormed the office,1,SkyNewsBreak,charliehebdo
@SkyNewsBreak @ProSyndicate watch yourself in Paris bud,1,Rich_Ross89,charliehebdo
@SkyNewsBreak islamist terrorists no doubt,1,robertacohen003,charliehebdo
@robertacohen003 @SkyNewsBreak More lone wolves I suspect.,1,BillcabbyCutts,charliehebdo
@SkyNewsBreak @jamiesont Oh Christ.,1,hilliatfields,charliehebdo
"@BillcabbyCutts @SkyNewsBreak what lone wolves, this is a massive pack of angry vicious wolves",1,robertacohen003,charliehebdo
@robertacohen003 @SkyNewsBreak Exactly.,1,BillcabbyCutts,charliehebdo
@SkyNewsBreak #RIP to all. an anti-religious mag suffered the same fate as most of the worlds problems. A certain religion.,1,AndyB73,charliehebdo
"@BillcabbyCutts @SkyNewsBreak what worries more than anything, what can the authorities do about it. We're just sitting ducks. Fuck am out.",1,robertacohen003,charliehebdo
@SkyNewsBreak @JamesDelingpole Nothing to do with Islam again?,1,DevilinFinance,charliehebdo
"@hilliatfields Barbaric, horrific, and quite close to home for me for obvious reasons.",1,jamiesont,charliehebdo
@jamiesont Aye. Depressing.,1,hilliatfields,charliehebdo
@SkyNewsBreak Not good. :(,1,maggymooo,charliehebdo
@SkyNewsBreak Meanwhile our politicians continue to keep the doors wide open to these people. Merkel is an ignorant bitch,1,ManchesterNorth,charliehebdo
@SkyNewsBreak are you listening Westminster? Another killing of European citizens by the stinking followers of Islam! Peaceful faith my arse,1,JohnOlpoet,charliehebdo
"@SkyNewsBreak 
No excuse... no excuse for this shooting in Paris. Now 12 Dead. Numerous injured.  Hello out there. Free of speech!",1,SusanSangster,charliehebdo
“@SkyNewsBreak: Reuters: 10 people shot dead in #Paris after gunmen stormed office” what've you done now @BenBrookes_SAFC,1,LewisRids3,charliehebdo
"10 people have died in a shooting at the Paris HQ of French weekly Charlie Hebdo, reports say. http://t.co/xcK8lY9IeR http://t.co/vsoysCGAbx",1,SkyNews,charliehebdo
"herregud RT@SkyNews: 10 people have died in a shooting at the Paris HQ of French weekly Charlie Hebdo, reports say. http://t.co/KSJt32pggI",1,oskarekstrm,charliehebdo
"Bem...  @SkyNews: 10 people have died in a shooting at the Paris HQ of French weekly Charlie Hebdo, reports say. http://t.co/GOWfF2Xe1t …",1,AndreBeja,charliehebdo
"@SkyNews presumably Muslim? How do you arrive at that,?",1,redtom43,charliehebdo
@SkyNews False Flag.,1,SajS4j,charliehebdo
@redtom43 @SkyNews The magazine has made fun of Muhammad. I'll be very surprised if the shooter isn't an Islamist.,1,MoonMetropolis,charliehebdo
@SkyNews muzzies again!,1,DeanoOAK,charliehebdo
"@SkyNews @zerohedge 
Send the fuckers back to the desert",1,TeslaAgnostic,charliehebdo
"Wow. Shocked. RT @SkyNews People have died in a shooting at the Paris HQ of French weekly Charlie Hebdo, reports say http://t.co/NPw0bGQHv0",1,ddemontgolfier,charliehebdo
@SkyNews @ProSyndicate,1,owenk3062,charliehebdo
"@Bcfc1186 yes,let's have the facts for a change.not presumptions.",1,redtom43,charliehebdo
@SkyNews https://t.co/qumtYObGgK,1,Timo_029,charliehebdo
@MoonMetropolis @SkyNews but it should be confirmed 1st before speculating on air.,1,redtom43,charliehebdo
"@SkyNews guess who have done this again , your fellow Muslim mother fuckers , they will never stop till you submit to their evil cult .",1,AHaydro46,charliehebdo
@SkyNews @zerohedge they must of run a cartoon with mohamed islam nibbling pork rinds from allu akbars shitty camel asshole,1,prezobummer,charliehebdo
"@SkyNews A devastating loss of life, This is a shame. Our hearts go out to the people who will have to endure the pain of these losses.",1,InnovationParUK,charliehebdo
@SkyNews Didn't you want to be tolerant?! You should have seen this coming!,1,JorgeOl18717221,charliehebdo
@SkyNews @alaidi A French crime of passion or another heathen moslem atrocity?,1,DrewEdgar_CB,charliehebdo
@SkyNews the magazine made fun of many a religions. If these terrorists were Islamists..it reinforces Islam as an intolerant religion again.,1,iinderz,charliehebdo
